id,name,set,collector,newPrice
00bfc923-4f6b-4c6f-b74f-ddf95a3459f8,Tempt with Discovery,C13,174,3.18
00c2c17b-889b-416b-af58-c4039efec2bb,Archdruid's Charm,MKM,408,8.72
00c833d3-d406-4c24-a4ab-9302fc27497e,Search for Glory,PKHM,27p,1.85
00c8f94a-7690-47f5-b664-61411a32ab74,Contagion,ALL,45,2.37
00c92601-11b9-4e7c-bc81-882085f3fae6,Crystal Rod,2ED,240,3.71
00cb17a0-5a13-4d02-b7fb-f99531bc8ca5,Dark Depths,2XM,314,2.50
00cbe506-7332-4d29-9404-b7c6e1e791d8,Liliana of the Dark Realms,M14,102,9.79
00ce03f3-ddc0-4cf3-8f07-551c960e8639,Siren's Call,LEB,78,17.42
00d001d0-fd29-4b7c-9d0e-9131b995f910,Gray Merchant of Asphodel,DSC,142,4.58
00d03b17-75ae-40d2-8570-b219ef0dfd4a,Mindslaver,SOM,176,5.54
00d4a1d4-b86a-4c05-9ecc-130e011e0486,Talisman of Dominance,MSC,219,3.36
00e40c64-58fa-421e-9d01-93b0642f7d8b,Luxury Suite,ZNE,18,35.83
00e4415d-1c71-41bc-84f2-2eee6367c49b,Goblin Warchief,WC03,we97,3.88
00e58486-07a5-4a2d-8563-22c7f14c0a6e,Song of the Dryads,PLST,C14-47,6.42
00e73c6f-bdbb-474b-9b24-44cb3fd5f751,Liliana of the Dark Realms,BLC,78,19.04
00e7e279-c11b-4978-b75e-9912d08590d2,Ghostly Prison,ONC,71,7.25
00e93be2-e06b-4774-8ba5-ccf82a6da1d8,"Baylen, the Haymaker",BLB,205,1.15
00e990aa-5124-4e9d-ab4e-178bcda12abd,Goblin Lore,10E,208,1.37
00ef8f06-dfcc-4ffa-a054-b0c81b39dcc0,Amarant Coral,FIC,457,3.68
00f0ab3f-86c5-49f6-948b-ace35bc03889,Mountain,PTK,177,18.13
00f40514-d37d-423f-aa0c-1875300f43a8,"Gríma, Saruman's Footman",LTC,57,1.53
00f8931e-6402-483c-a9e8-63ee344c36a7,Faerie Noble,HML,86,2.07
00f9955f-a522-47bf-b064-92dd21a76b18,Solemn Simulacrum,MRD,245,1.48
00fc97d3-d8e4-4234-a6da-7b17316fa9ac,Truga Jungle,OPC2,38,1.86
00fde52c-c764-433f-af24-fbb54504b243,Relentless Assault,HOP,62,4.36
01006833-6007-4c16-9ebb-20d31c60a57a,Taiga,2ED,283,807.49
01033dae-fec1-41f2-b7f2-cc6a43331790,Parallel Lives,ISD,199,35.18
0104b5b3-9376-4ad7-9a77-3e564e9c42e6,"Ghalta, Primal Hunger",RIX,130,1.12
0109fdca-75e3-4511-bd59-8721ed1fc8b8,"Kyler, Sigardian Emissary",MIC,42,2.18
010abd40-3f9c-44bc-8570-d539750c3cd7,Eldrazi Temple,EOS,14,3.37
010aea2b-dd25-4ac2-9b3f-cd3b18740d06,Professor Hulk,MSC,338,6.32
010d1d16-4219-4445-b25b-6d133a4c469b,Brass's Bounty,PRIX,94p,3.62
01115986-1963-45c6-b706-2faee6c71e8f,Propaganda,PLST,C16-94,3.63
01116585-a8c7-4619-b0a6-fcfe78fdaf3c,Granite Gargoyle,2ED,156,60.00
0113159a-f971-460a-b9fc-42530484c852,Flickerform,C13,12,3.49
01179c70-a87a-46aa-a95d-3269889e87ff,Thought Monitor,BRC,98,1.78
0118733f-ddea-4527-9acd-24a006b49aa4,Chandra's Incinerator,PM21,136p,4.26
011beb9f-0780-4b38-81ac-f1a9a0970303,Windfall,CM2,55,5.18
011c9afa-46c0-419e-848c-92476702fd68,Destiny Spinner,PLST,THB-168,1.10
011cfa46-6827-4418-881b-686eb34e06ce,"Mangara, the Diplomat",M21,343,5.77
012506cb-9a4e-433b-b7db-6d2af95f6725,Nephalia,OPC2,26,3.75
0126db58-cd4c-476c-8c7a-b60f94bf2250,Personal Incarnation,CEI,32,5.85
0127d42f-bf40-48f4-a3a0-1a1c4039f432,Graven Cairns,2XM,320,4.37
012a37ff-55f3-4943-b401-dc7a7cc22dae,Goblin Offensive,ATH,37,2.24
012abe1c-a5ff-4785-a555-76e4662b0a95,Brokers Ascendancy,PSNC,170p,2.26
012f94e9-91cd-48da-873f-2da2b03a4965,Shattered Angel,NPH,23,1.34
0135ada3-e5ae-4382-a717-872839bf1d5a,Garruk Wildspeaker,M11,175,3.48
0136a022-6b16-4b33-a817-946ded4e9dd5,Ripples of Undeath,MH3,455,7.86
013d5961-e8d8-4ef2-b906-8bad30e4acf8,Word of Command,CED,137,66.98
013e68be-daf9-409b-aab8-caf51f1cada3,Ardent Plea,PLST,ARB-1,1.59
013eeb99-1b66-4fba-ad96-78deee901ea4,Professor Onyx,STX,83,7.83
013fc8c1-dd0c-42ce-9498-1a13305c75a4,The Squadron Sinister,MSC,417,1.46
013fdf2d-8fa5-4d84-9a4d-e39dbed1c31b,"Kykar, Wind's Fury",BLC,91,4.26
013ff2e6-07a6-48ec-a0f4-e933f748ad72,Gray Merchant of Asphodel,SCD,80,1.11
0141312f-4b68-4c56-b1dc-5b7e6afbb96c,Blot Out the Sky,STX,167,1.58
014281b4-172c-4c4e-b859-4ca9ba110cce,Horizon Canopy,WHO,503,2.18
0143eb00-b054-4741-8423-66eed0362a30,Grand Arbiter Augustin IV,2X2,379,14.67
01482a58-5156-41ba-bf9e-11095cc3f9ef,Storm-Kiln Artist,OTC,181,3.32
01482b0c-d05b-4356-9144-e044159f4dcb,Undead Warchief,HOP,44,15.18
0148fa7c-b6d6-458c-8cdd-a6c4e6dd4e59,"Cid, Timeless Artificer",FIN,418,3.67
01499449-5614-428f-8fc1-1fa74f7114ad,Aggravated Assault,WOT,39,26.76
0149c119-83ea-46f5-9e22-33a674ddddb6,Flare of Denial,MH3,400,5.55
014af391-3b4a-4aab-a3e9-f60e61016985,Chainer's Edict,TOR,57,1.10
014c0557-11b8-49da-8486-0dd14b919338,"Elspeth, Knight-Errant Emblem",TMMA,16,13.86
014c07d2-b698-4459-b8b8-47f3aa1acce3,Mycoloth,C15,192,3.83
0153d1ad-c8ee-42ff-a059-b763c2cfb7be,"Toski, Bearer of Secrets",SPG,60,11.66
01550676-3659-47d7-9a47-67c31438ec09,Mountain,SLD,1471,18.38
01595caa-7abd-4b47-8015-3754d8eb39cf,Hedge Shredder,DSK,320,2.95
015afe31-af3c-4c9b-9997-d7c33b915a33,"Quandrix, the Proof",SOS,218,2.72
0163dd21-9f9f-4656-b0b2-7774be0b6ada,Imperial Seal,2X2,354,175.91
01693860-2f79-4777-b2f5-5ebfbff8ad42,Aboleth Spawn,CLB,612,8.82
016a3d0d-08f5-4352-97a2-262b802c46e2,Cascading Cataracts,EOS,50,3.97
0174e40a-0ef5-4439-91e6-3fc39f482520,Breath Weapon,CLB,165,4.41
01769b12-4841-4a1a-a089-e061442203ed,Bojuka Bog,C20,259,2.20
01794178-cf41-454c-ac37-1d8b18e42db2,Green Sun's Zenith,EMA,169,27.25
017c415b-d635-43c6-92b8-8c95d1c4ff8d,Force of Vigor,MH1,164,8.93
01808714-a841-425a-94e7-a75de1267f66,Planewide Disaster,OPC2,5,1.50
0180d9a8-992c-4d55-8ac4-33a587786993,"Boseiju, Who Shelters All",CHK,273,17.66
018238ae-b740-4185-8747-b68f6d1e7989,Saruman of Many Colors,LTR,328,1.14
0183c540-9b05-4e65-b2a5-b062754020da,Cryptic Command,MMA,38,6.56
018414d2-adee-454b-9b00-7065ed8e2f11,Wizard's Spellbook,PAFR,82p,1.10
01880c6f-be00-48b5-913f-ec6c80ced184,Resurgent Belief,MH2,26,1.22
018830b2-dff9-45f3-9cc2-dc5b2eec0e54,"Jinnie Fay, Jetmir's Second // Jinnie Fay, Jetmir's Second",SLD,1556,4.20
018e9fd1-3e7f-4909-bab1-3edb9c9e4326,Mondo Gecko,TMT,231,2.15
0190f7fa-d272-4b2d-b252-cc29a6301a53,Stormsplitter,PBLB,154p,3.57
019728bc-7d37-4384-81e5-97c47660c092,Dragonlord Ojutai,SLC,2015,2.53
01978fe5-00a9-4add-ae2a-b4c2572ffb9a,Vendilion Clique,MM2,67,3.38
01985566-275b-4bf0-8667-c81eb95ad70c,"Jin-Gitaxias, Progress Tyrant",NEO,371,20.77
019897e4-d3ba-43b1-9bd9-2ebba6e3b349,Rude Awakening,GVL,22,1.18
019b1f71-2d99-47da-8df3-237ef25a4916,Assault Intercessor,40K,104,1.82
019b51b0-e5c6-4208-922b-7736686dddcd,Agatha's Soul Cauldron,WOE,242,36.55
01a04ebd-aeeb-47b4-bfe0-0a8fa58624c5,Sphere of Resistance,WC99,js139sb,37.25
01a4a36a-f10a-411b-9558-cbbb62e8b4ae,Dawn of a New Age,LTR,731,28.02
01a543f0-72fe-4a30-a4a0-356971c1c68a,Tyvar the Bellicose,MAT,48,12.23
01a8576e-cadc-4521-aadd-3a05f0bc4d20,"Heliod, Sun-Crowned",THB,18,20.96
01ab7a5c-c73a-4a4b-803c-ab98f0e74092,Lantern of Insight,PLST,5DN-135,3.15
01acc50b-856d-442d-9880-1a892b40643b,Scheming Symmetry,M20,113,8.53
01acd1c1-86b2-4423-9ba7-5b9725c0514f,Drown in the Loch,SLD,270,8.24
01b1f130-2e12-4e57-876b-fc81619ff01f,Elf Druid,TC14,23,2.46
01b62353-e170-4c29-bda1-7cd8441c01c2,Haunted Ridge,WHO,286,8.19
01b7c8e4-db88-48f3-bfd5-8d990f449b1c,"Oathkeeper, Takeno's Daisho",CHK,265,18.38
01b8df75-fe70-4db0-9082-0b04d198f97b,Hymn to Tourach,PTC,ll38d,1.17
01ba6f40-baef-432c-aec7-bffc41e879ef,Silence,SLD,2300,16.50
01bb5aa5-2147-4884-aaa2-f3785bc8e581,"Pippin, Warden of Isengard",LTC,146,3.75
01bda3d7-122a-48a0-bab3-676c4a557b74,Timetwister,2ED,85,5142.02
01bdc760-a5c9-45a9-9d83-dd3780f8ed6f,Oketra's Monument,PLST,AKH-233,5.40
01bde909-899d-4efc-aac5-57b69fa764db,Earthquake,5ED,223,1.96
01c2b71a-492d-431c-90ba-173781ba8815,Nature's Lore,FIC,311,2.44
01c4a294-d8b5-4237-af09-f592029c917a,Hardened Scales,CM2,138,2.84
01cb04a6-d185-4e1e-a33b-032793247365,Strionic Resonator,LCC,116,21.34
01cb2a12-4c1c-413d-91b1-574e4a00e251,"Kroxa, Titan of Death's Hunger",PTHB,221p,2.20
01cc9536-f710-4c47-9e3f-d7e83cc888f2,Rakdos Signet,DSC,250,2.91
01cd8fe8-c4af-4409-ad07-db95f3c28b4d,Thicket Basilisk,CED,219,2.22
01d1e394-1b0c-4b40-ba85-f55973703d41,Smirking Spelljacker,OTC,16,2.89
01d566cf-cb32-461d-8afe-b0f3f4c24160,"Godo, Bandit Warlord",CMM,227,1.04
01deb3cc-91e8-4ef3-964f-f36c6a21207c,Trained Jackal,PTK,155,3.89
01e3c2e9-d8df-4a7a-be86-7be8c6254fa2,Deep Analysis,TOR,36,1.17
01e63bfc-c4a0-44a3-a120-13c3cd928ca6,Plains,WC98,bh331,1.84
01e7b0bc-1c6c-48f4-8b72-1a809f536c6c,Birds of Paradise,3ED,187,27.94
01f40e07-f565-4b9e-87a5-5b28b4e9fb0b,Sergeant John Benton,WHO,157,1.11
01f667e6-c27d-4055-8ddb-ea6cbcde6e4e,Deadly Cover-Up,MKM,399,1.02
01f891ca-4e6a-4710-b1cf-5dabb5e1ad93,Whirlpool Warrior,APC,36,1.17
01fb60c9-d10d-4966-b9bd-788fabc182d2,Spiteful Sliver,CMM,881,2.14
01fe0af9-55b4-4390-8de4-2cd58aa7efde,Seize the Spotlight,OTC,179,14.92
01feef77-ff30-4f77-892f-6bdae3f0d35c,Spell Swindle,MOC,237,1.68
0202cf00-cbdd-499f-809d-cb0b8c085550,Dungeon of the Mad Mage,OAFR,20,5.11
020426f0-ca38-4b0e-aa20-6fe12dc34853,"Spider-Ham, Peter Porker",SPM,201,1.36
0208a5a9-3a6f-44c5-9e46-24bdf924753c,"Quina, Qu Gourmet",FIN,471,2.48
0208c551-a4de-43c7-bd4c-12d24ae179c1,Vendilion Clique,J22,368,4.79
0208e215-9dcc-49f5-a7e2-82a02782a777,Proft's Eidetic Memory,PMKM,67p,2.56
0209078f-58cf-4584-9fff-95220bc865f5,Champion of Lambholt,MIC,136,2.55
020e1348-1a35-4cc8-bad6-9fbddfa79277,Ugin's Labyrinth,MH3,233,12.98
020f6d23-daa6-4915-a9de-ec53befa8ee2,Spike Weaver,PLST,EXO-128,4.82
0210b3b4-d253-464f-b533-b79bf67d47a4,Blatant Thievery,C15,87,5.02
02138fbb-3962-4348-8d31-faaefba0b8b2,Raugrin Triome,IKO,251,17.18
0215cbbf-7bac-4ff7-bceb-23d728797848,Ironscale Hydra,THB,296,1.27
021f57dc-80f3-4ede-99d5-4a44aade44e2,Star of Extinction,XLN,161,1.23
02212bd8-0c0f-4e8e-99f1-a8477476c03a,Treetop Village,ULG,143,4.04
0225d038-bba4-4965-8f90-5d9d2e6dcf70,Basilisk Collar,CLB,595,5.49
02267717-66e0-41f7-8009-75586a4aa4be,Lotus Ring,BIG,24,1.37
022aacc6-2d82-43c0-ac08-ba9b20578929,Nemesis of Reason,CLB,850,3.32
022ab408-3292-40b6-b35e-ac1b7f06dffa,Xantid Swarm,EMA,193,3.73
02335747-54e3-4827-ae19-4e362863da9b,Green Sun's Zenith,MBS,81,26.37
02351d67-2d73-43e3-82f7-5277c532d7ac,Diregraf Colossus,MIC,112,6.81
023ae64a-7888-4ad2-b879-0649d8e341ac,Taoist Mystic,PTK,151,55.00
024110ee-5520-49f8-afab-54dcce87c650,Elvish Spirit Guide,SLD,423,30.22
02465747-9651-4832-b2ed-67aecdc79904,Get Lost,PLCI,14p,4.32
024ae668-a1ae-4020-89c8-acbd8bd0a691,Cataclysm,EXO,3,16.95
024bf289-2802-4f11-aebf-9373ffbd9c46,Body Count,NCC,34,3.08
024f73a3-4a01-4cfc-957a-8023ba642f21,Gifts Ungiven,SS1,5,5.75
025152a1-4fdf-4e4e-a792-c540dd43fccd,Floodfarm Verge,DSK,330,11.22
0251766b-ab59-4079-aea7-9968b49f04ef,"Taskmaster, Mercenary Mimic",MSH,425,1.50
02517f12-cd8a-4d62-89cb-523b9b9295d5,Abrupt Decay,GK1,57,1.76
02540c3f-4b8d-4fba-80eb-c843f1a86cbb,The Cauldron of Eternity,PELD,82p,1.64
0254bff2-a3a7-434e-980a-2d30355793fc,Library of Leng,LEB,258,102.49
025b0f0f-daf6-4071-82e7-39c015447ce4,Ornithopter of Paradise,MH2,232,1.04
02654f5c-177d-4088-8a4d-cafa03943337,Improvised Arsenal,TMT,270,1.29
026777d1-e3a7-45a3-8967-527c0b4236e2,Plains,SLD,1088,12.59
026dbfcb-6c83-478b-a790-1a7541c206aa,"Varragoth, Bloodsky Sire",SLD,1809,6.50
0271550a-0610-4e21-849a-f29547a77bdc,Momentous Fall,ROE,197,3.97
02729948-9b74-453f-a268-2f29b48a29ee,Wastes,PLST,OGW-183,1.60
0279fd3c-9252-4958-9d7a-5f33aa25907e,Whir of Invention,AER,49,5.46
02805527-943c-4d88-9d80-50ed71a14af2,Elvish Spirit Guide,DMR,338,2.71
0281825d-9d38-4b56-b522-a8d3cf8c77c9,Mechtitan,TNEO,14,7.52
02830294-431a-4402-aafe-f29f224d7d0b,Jedit Ojanen of Efrava,PLST,PLC-131,2.56
02842e77-7475-4fe5-9d2e-f3c8ba56bc88,Ghostway,RVR,19,4.96
028ef608-acfe-4e9d-90db-eca4411ba78a,Vincent Valentine // Galian Beast,FIN,125,1.98
02902fcc-eefc-4e81-aafd-59fa203a71d7,Eternal Witness,MMA,144,2.91
02907b62-5456-4605-a8cd-321487928761,Necroskitter,EVE,38,19.94
0295f53a-0529-4809-9f57-0c3f747ca449,Body of Knowledge,CMR,631,2.23
0296af5c-e033-47f6-9b95-ee8fef7ac22a,Terror,CED,131,8.99
0298749b-089e-49b9-8c89-02431a3d6457,Island,SLD,103,3.06
029dd036-abda-4b5d-806d-8b39357edf1e,"Niv-Mizzet, the Firemind",A25,210,1.11
029eaaa9-e45e-4c50-a03d-ad67e3dfcc3e,Hallowed Fountain,UNF,277,30.69
029ff21a-b175-4e81-8712-4dae185ad790,"Kenrith, the Returned King",LTC,515,74.97
02a05a4e-7414-4520-b5fb-9ac4416eb4f1,Sylvan Reclamation,CM2,167,1.83
02a16e1e-1ea8-49af-9cde-2166134f7bdc,Bonders' Enclave,EOS,4,1.07
02a20564-90af-4dbd-bf5c-debc49e4f391,Subterranean Tremors,SOA,48,1.47
02a56bce-fd1c-46ab-a941-61f2ef93dc9d,Nature's Lore,S99,136,3.17
02a89b0e-e49d-44ec-a385-89e22d727c7c,"Abigale, Eloquent First-Year",PECL,204p,1.24
02a992ad-8f34-41c5-b66e-d4ca659d0e27,Prismatic Geoscope,C16,55,1.19
02a9adde-1604-46c1-b481-fa0a73c72bd9,Mirrorform,ECL,308,3.57
02ad87fb-5ff9-4e13-af6f-65a262b2964b,"Glarb, Calamity's Augur",PBLB,215p,8.27
02aea379-b444-46a3-82f4-3038f698d4f4,The Mightstone and Weakstone,BRO,238,3.95
02b90a7c-288d-420a-91b2-bd9ced5767e4,Crystalline Crawler,CM2,183,2.99
02ba0244-b7fa-4090-a1ac-1ba762dd8cc3,Scourge of Valkas,SCD,157,2.40
02bc2415-b1d1-467a-9578-3948dda166cf,Mardu Ascendancy,KTK,185,1.10
02c062d8-49c7-4f19-8fba-cadea35ddebe,Control Magic,PTC,ml64sb,1.49
02c175df-2e9b-4064-9271-d85e4dd4c94d,Pernicious Deed,CNS,191,3.87
02c335b6-95d7-4d8f-8abd-15a03461efec,"Tam, Mindful First-Year",PECL,245p,1.27
02c4edfa-7822-40bc-88d1-d051b3a64df1,Armageddon,LEB,2,712.99
02cb5cfd-018e-4c5e-bef1-166262aa5f1d,Swamp,THB,252,1.76
02d07692-9a18-434a-876f-7311349178c2,"Katara, Waterbending Master",TLE,180,19.53
02d6d693-f1f3-4317-bcc0-c21fa8490d38,"Jace, Vryn's Prodigy // Jace, Telepath Unbound",ORI,60,4.76
02d6fd16-a7cd-49cb-bb70-806f8eb622dd,Brash Taunter,SLD,1614,8.90
02d7ea78-d539-4c34-8bb3-941353e3da46,Beastmaster Ascension,ZEN,159,4.92
02da8709-4228-4fed-9d2d-781e686661df,Counterspell,DMR,45,2.56
02da984a-295e-422e-a05a-5d8c1349bc64,Myojin of Night's Reach and Grim Betrayal,UNK,RB08,25.00
02db5a2d-28d3-4f57-9045-f0ef16d8aad1,"Chandra, Flameshaper",FDN,360,3.43
02e17705-739e-409f-a6fd-7bab22120b22,"Urborg, Tomb of Yawgmoth",UMA,254,62.55
02e20655-321c-4194-ab72-b4a5473238d1,Lightning Bolt,PTC,et208,19.98
02e8e540-8aa3-4e6a-9a11-c3949cab5f0f,"Tezzeret, Cruel Captain",EOE,2,18.66
02ec5dc4-a40d-41d4-ba50-47c494632037,Sevinne's Reclamation,DMR,273,1.60
02edaa79-2c99-4d37-a54f-0258476cd81c,Megrim,9ED,144,1.06
02eee156-54bd-46fc-8804-a73aab87f0ba,Wooden Sphere,LEB,277,9.45
02ef18d1-fd05-4dbc-9fa7-a383799b34e9,"Jarad, Golgari Lich Lord",RTR,174,1.49
02ef25ce-4d6a-45ff-8b6b-fd5c29307099,Knight-Captain of Eos,ALA,17,2.52
02f0067c-2d38-46bd-b52e-070c2ce424f0,Tooth and Nail,MRD,134,4.04
02f093c0-135f-4e92-8baa-353b49ad4b5a,Guardian of Faith,PAFR,18p,5.12
02f0be1b-554e-4b61-b495-6e2a7369cdb1,Court of Grace,CMR,16,3.19
02f210ed-b40b-44c8-9424-fbefb31e9c3c,Vampire's Kiss,DBL,403,1.08
02f38271-114f-4c00-a959-7dbccca76eb9,"Goddric, Cloaked Reveler",SCH,38,5.33
02f6b17c-89bd-47e1-9963-69260d5f2838,Barrin,PVAN,201,10.98
02f74866-d0ea-42ce-bc44-500219fb73d4,Hunted Horror,CLB,758,4.35
02f7ffb0-ad48-4f2c-af43-a86a9546a1b2,Heroic Intervention,SLD,1750,17.67
02f960f2-1324-4d48-bab7-c46b836a8907,Weather the Storm,STA,58,1.65
02f99756-d334-4dba-a375-ba3d91ecae62,Detection Tower,M19,249,2.90
02fb5f9f-8750-4eb5-a03a-6dacc60e0b90,Righteous Valkyrie,KHM,24,5.35
02fe76b0-86eb-4f5b-8877-657cb8a37fc3,Cryptic Command,MM2,43,5.71
0301ab57-e06e-4965-8182-a048fc98a01e,Drowned Catacomb,PIP,494,5.22
0302a684-563c-49b2-9029-7f079ac58fd2,Celestial Armor,FDN,295,1.10
03032d89-caca-43ff-b2ea-028e376c829c,Surrak Dragonclaw,KTK,206,2.93
03066fa1-ea16-4a87-9218-120efa976909,Kor Spiritdancer,ROE,31,3.51
030b0a9d-d0cf-4f3a-97b3-3e1d59226ee6,Cream of the Crop,MOR,117,14.65
030b7ddc-dcf0-433a-b09e-27f117430e7b,Lotus Bloom,PLST,TSP-259,4.75
030e46a1-64a7-47e3-9b9f-82a22fe3734b,Consecrated Sphinx,IMA,47,33.00
0310bb0e-bd22-470e-8711-4e15aec86578,Gruul Signet,SLD,288,6.54
0312d980-b1d0-41ec-8f5b-d21fbb742b9b,Llanowar Elves,SLD,1553,2.42
